id,title,description,category
1,Climate Change Effects,Global warming impacts on weather patterns and ecosystems,environment
2,Machine Learning Basics,Introduction to neural networks and deep learning,technology
3,Sustainable Agriculture,Organic farming methods and permaculture practices,environment
4,Artificial Intelligence,AI applications in healthcare and diagnostics,technology
5,Ocean Conservation,Marine ecosystem protection and plastic pollution,environment
6,Quantum Computing,Quantum bits and superposition in computation,technology
7,Renewable Energy,Solar and wind power generation technologies,environment
8,Natural Language Processing,Text analysis and sentiment detection with AI,technology
9,Deforestation Impact,Effects of forest loss on biodiversity,environment
10,Blockchain Technology,Distributed ledgers and cryptocurrency systems,technology
